# nodo,x,y,ux,uy,x_d,y_d
8,2.5,0.0,-3.5455567057308985e-05,-0.002866781159089449,2.4999645444329426,-0.002866781159089449
487,2.5,0.03333333333325362,-2.950977003149418e-05,-0.0028697351395022015,2.4999704902299684,0.03046359819375142
488,2.5,0.06666666666648206,-2.3660855696498424e-05,-0.002872150759542221,2.4999763391443035,0.06379451590693984
486,2.5,0.09999999999971049,-1.788944699617669e-05,-0.00287404104805306,2.499982110553004,0.09712595895165743
489,2.5,0.1333333333331715,-1.2176166289082305e-05,-0.0028754147059534474,2.499987823833711,0.13045791862721803
490,2.5,0.1666666666666023,-6.501638593331674e-06,-0.002876277789693143,2.4999934983614067,0.16379038887690914
10,2.5,0.2,-8.464874250867985e-07,-0.00287663532477193,2.499999153512575,0.1971233646752281
492,2.5,0.2333333333332098,4.808670159639837e-06,-0.0028764878893366565,2.50000480867016,0.23045684544387315
493,2.5,0.2666666666663542,1.048318760367284e-05,-0.0028758349064118257,2.5000104831876038,0.2637908317599424
491,2.5,0.2999999999994987,1.619647583289233e-05,-0.0028746713570052007,2.500016196475833,0.2971253286424935
494,2.5,0.3333333333329971,2.196788544920904e-05,-0.0028729911594382643,2.5000219678854494,0.3304603421735588
495,2.5,0.3666666666665423,2.7816793120320812e-05,-0.002870785635749412,2.5000278167931205,0.36379588103079286
9,2.5,0.4,3.376260428555771e-05,-0.002868041759478922,2.5000337626042857,0.3971319582405211
